Token,Weirdness
метод,1.0
электрон,1.0
научн,1.0
журна,1.0
турсинович,1
юнус,1.0
хамидович,1
шухрат,1.0
удратович,1
старший,1.0
преподаватель,1.0
применять,1.0
время,1.0
конструирование,1.0
формообразование,1
частный,1.0
численный,1.0
появиться,1.0
средство,1.0
приближение,1.0
преимущество,1.0
хороший,1.0
аппроксимировать,1
объект,1.0
простота,1.0
алгоритм,1.0
компьютер,1.0
известный,1.0
удаваться,1.0
ощутимый,1.0
задача,1.0
интерполирование,1
точность,1.0
вычислительный,1.0
третий,1.0
достигаться,1.0
эффект,1.0
материал,1.0
разбивка,1.0
производиться,1.0
оказаться,1.0
задаваться,1.0
общий,1.0
рисунок,1.0
удобство,1.0
нумерация,1
проведать,1
заметить,1.0
указанный,1.0
принцип,1.0
однозначность,1
определение,1.0
проецирущийся,1
принять,1.0
её,1.0
переменный,1.0
переходить,1.0
ввести,1.0
представлять,1.0
описываться,1.0
двумерный,1.0
восстанавливать,1.0
иметь,1.0
порядок,1.0
базисный,1.0
кронекер,1
смешанный,1.0
записаться,1
следующий,1.0
носитель,1.0
сосредоточить,1.0
сам,1.0
выражение,1.0
входящий,1.0
направление,1.0
нормаль,1
выполняться,1.0
дополнительный,1.0
участок,1.0
прилежащий,1.0
вершина,1.0
рассматривать,1.0
параллельный,1.0
координатный,1
вертикальный,1.0
пересечь,1.0
следовать,1.0
отображаться,1.0
равный,1.0
определить,1.0
множество,1.0
требовать,1.0
пример,1.0
оценить,1.0
восстановление,1.0
радиус,1.0
пересекаться,1
сеть,1.0
план,1.0
решить,1.0
прямой,1.0
табла,1.0
неизвестный,1.0
потребовать,1.0
непрерывность,1.0
замена,1.0
решение,1.0
донести,1
параметрический,1.0
сводиться,1.0
разработать,1.0
моделирование,1.0
построить,1.0
предложить,1.0
осуществить,1.0
модель,1.0
без,1.0
предварительный,1.0
отображение,1.0
прямоугольный,1.0
исходный,1.0
декартов,1
ч,1.0
хмедовый,1
сад,1.0
гиперповерхность,1
полиэ,1
драми,1
расчёт,1.0
несущий,1.0
способность,1.0
электронный,1.0
ресурс,1.0
режим,1.0
доступ,1.0
дата,1.0
обращение,1.0
васильев,1.0
дефект,1.0
волков,1.0
изучение,1.0
чётный,1
сибирский,1.0
завьялов,1.0
машиностроение,1
ньюмена,1.0
спрулла,1
интерактивный,1.0
машинный,1.0
рамазан,1.0
магомедов,1.0
сходиться,1.0
рациональный,1.0
от,0.875
г,0.8333333333333334
с,0.8
в,0.6666666666666666
анализ,0.6666666666666666
м,0.6666666666666666
случай,0.6
область,0.6
библиографический,0.5
аннотация,0.5
слово,0.5
введение,0.5
последний,0.5
реализация,0.5
опыт,0.5
применение,0.5
показывать,0.5
повышение,0.5
число,0.5
привести,0.5
второй,0.5
заключение,0.5
вывод,0.5
список,0.5
литература,0.5
основа,0.5
республика,0.42857142857142855
обладать,0.3333333333333333
важный,0.3333333333333333
современный,0.3333333333333333
практика,0.3333333333333333
весь,0.3333333333333333
другой,0.3333333333333333
дать,0.3333333333333333
проводиться,0.3333333333333333
процесс,0.3333333333333333
журнал,0.3333333333333333
о,0.2857142857142857
статья,0.25
ключевой,0.25
эффективный,0.25
один,0.25
мочь,0.25
новый,0.25
некоторый,0.25
мир,0.25
среди,0.125
ахмеджан,0.0
структурный,0.0
кулачково-рычажный,0
механизм,0.0
кулачковый,0
рычажный,0
юсуф,0.0
аббасович,0
ташкентский,0.0
ташкент,0.0
возникать,0.0
сложность,0.0
подвижность,0.0
устройство,0.0
избыточный,0.0
связь,0.0
лишний,0.0
движимый,0
деталь,0.0
замкнутый,0.0
контур,0.0
избыточность,0
традиционный,0.0
преподавать,0.0
курс,0.0
теория,0.0
машина,0.0
звено,0.0
цель,0.0
работа,0.0
являться,0.0
контурный,0
путём,0.0
схема,0.0
путь,0.0
устранение,0.0
изменение,0.0
класс,0.0
кинематический,0
пара,0.0
изменяться,0.0
автоматизированный,0.0
производственный,0.0
передаточный,0
преобразование,0.0
вращательный,0.0
движение,0.0
возвратнопоступательный,0
вращательно-качательный,0
закон,0.0
норма,0.0
толкатель,0
коромысло,0
прекращать,0.0
технологический,0.0
представить,0.0
механи,0
состоять,0.0
основание,0.0
стойка,0.0
водить,0.0
выполнить,0.0
часть,0.0
соединить,0.0
между,0.0
сателлит,0.0
кулиса,0
некруглый,0
кулачок,0
подвижный,0.0
относительно,0.0
шарнир,0
камень,0.0
зменяться,0
согласно,0.0
профиль,0.0
исследование,0.0
свойство,0.0
проведение,0.0
за,0.0
счёт,0.0
учёт,0.0
количество,0.0
икс,0
наличие,0.0
оказывать,0.0
влияние,0.0
функциональный,0.0
влиять,0.0
метрический,0.0
мс,0.0
повторять,0.0
ограничение,0.0
относительный,0.0
способ,0.0
плоский,0.0
п,0.0
л,0.0
чебышёв,0
кп,0.0
го,0.0
низкий,0.0
высокий,0.0
наш,0.0
определённость,0.0
обеспечить,0.0
ведущий,0.0
независимый,0.0
характеризовать,0.0
положение,0.0
остальной,0.0
данный,0.0
полный,0.0
картина,0.0
выполнимый,0.0
свобода,0.0
пространственный,0.0
предлагать,0.0
содержать,0.0
показатель,0.0
многоконтурный,0.0
принадлежащий,0.0
включать,0.0
обсуждение,0.0
определимый,0
первый,0.0
необходимый,0.0
исходящий,0.0
составлять,0.0
тип,0.0
соединение,0.0
описывать,0.0
функциональность,0.0
какой,0.0
ограничить,0.0
конструктивный,0.0
особенность,0.0
уменьшение,0.0
пятый,0.0
меняться,0.0
оставаться,0.0
измениться,0.0
заменимый,0.0
ролик,0
предназначить,0.0
трение,0.0
скольжение,0.0
качение,0
улучшение,0.0
взаимодействие,0.0
возможный,0.0
вариант,0.0
четвёртый,0.0
закрытый,0.0
нуль,0.0
улучшать,0.0
функционирование,0.0
многовариантный,0
артоболевский,0
физматлить,0
барат,0
н,0.0
дусиёров,0
изменяемый,0.0
егоров,0.0
прикладной,0.0
мехатронный,0
учебный,0.0
пособие,0.0
фгбоу,0.0
мгту,0
сталкинг,0
буйнов,0
робототехнический,0
интеграция,0.0
образование,0.0
производство,0.0
тенденция,0.0
тезис,0.0
доклад,0.0
междунары,0.0
научий,0.0
конф,0.0
патент,0.0
абдуллаев,0.0
разработка,0.0
выделение,0.0
семя,0.0
хлопковый,0.0
волокно,0.0
машиноведение,0
равшан,0.0
каримджанович,0
наманганский,0.0
наманган,0.0
проблема,0.0
пильный,0
джина,0.0
отделение,0.0
выявить,0.0
ход,0.0
обширный,0.0
исследованиять,0
лабораторный,0.0
испытание,0.0
изучить,0.0
естественный,0.0
селекционный,0.0
сорт,0.0
комплекскной,0
оборудование,0.0
комплексный,0.0
качественный,0.0
после,0.0
джинирование,0
основный,0.0
единственный,0.0
тот,0.0
процент,0.0
нанести,0.0
вред,0.0
пневмомеханический,0
зубчатый,0.0
цилиндр,0.0
верхний,0.0
средний,0.0
индекс,0.0
короткий,0.0
микронейра,0
создать,0.0
конструкция,0.0
хлопок-сырец,0
достоверность,0.0
объясняться,0.0
продукт,0.0
применить,0.0
инновационный,0.0
внедрение,0.0
реальный,0.0
экономический,0.0
эффектив,0.0
ность,0.0
научный,0.0
значимость,0.0
динамический,0.0
аэродинамический,0
хлопок,0
закономерность,0.0
фракция,0.0
исследователь,0.0
внести,0.0
вклад,0.0
теоретический,0.0
джиня,0
рования,0.0
состав,0.0
сырцовый,0
валик,0.0
характер,0.0
скорость,0.0
рабочий,0.0
камера,0.0
зуб,0.0
пила,0.0
причина,0.0
возникновение,0.0
порок,0.0
охват,0.0
выяснить,0.0
покрыть,0.0
участвовать,0.0
считать,0.0
сырьевой,0
облегчение,0.0
оборот,0.0
до,0.0
мина,0.0
пил,0
удаление,0.0
центр,0.0
считаться,0.0
эффективность,0.0
увеличение,0.0
волокнистость,0
быстрый,0.0
очистить,0.0
равномерный,0.0
плотность,0.0
широкий,0.0
увеличить,0.0
объём,0.0
хлопкоочистительный,0
промышленность,0.0
позволя,0.0
производительность,0.0
джин,0
кг,0.0
час,0.0
американский,0.0
отличаться,0.0
однокамерный,0
очистка,0.0
подготовка,0.0
си,0.0
льный,0.0
различаться,0.0
джиновое,0
сша,0.0
отечественный,0.0
предприятие,0.0
закупить,0
технология,0.0
год,0.0
утверждать,0.0
кроме,0.0
цена,0.0
раз,0.0
из-за,0.0
обслуживание,0.0
обеспечение,0.0
запчасть,0
вынудить,0.0
местный,0.0
машиностроитель,0
страна,0.0
актуальный,0.0
вопрос,0.0
технико-технологический,0
развитие,0.0
хлопкоочистка,0
основное,0.0
провести,0.0
выбор,0.0
сравнительный,0.0
обзор,0.0
международный,0.0
порлок,0
наименование,0.0
условный,0.0
обозначение,0.0
дюйм,0
однородность,0.0
удлинение,0.0
разрыв,0.0
разрывный,0
нагрузка,0.0
текс,0
коэффициент,0.0
отражение,0.0
свет,0.0
желтизна,0
код,0.0
загрязнение,0.0
сорный,0
примесь,0.0
площадь,0.0
существующий,0.0
повредить,0.0
сырец,0.0
должный,0.0
свободный,0.0
состояние,0.0
какой-либо,0.0
препятствие,0.0
валичный,0
теорести,0
чёска,0.0
толщина,0.0
расположить,0.0
поток,0.0
достигнуть,0.0
аета,0.0
секционный,0.0
цилинр,0
подача,0.0
регрессия,0.0
график,0.0
зависимость,0.0
отделять,0.0
тилляев,0
ускоритель,0.0
основной,0.0
диссертация,0.0
соискание,0.0
учёный,0.0
кандидат,0.0
мирошниченко,0.0
проектирование,0.0
первичный,0.0
обработка,0.0
москва,0.0
стр,0.0
эргашева,0.0
совершенствование,0.0
количественный,0.0
фазилдин,0
каттаходжай,0
снижение,0.0
эрматовый,0
шакир,0.0
машрапов,0
гидравлический,0.0
удар,0.0
напорный,0
трубопровод,0
запуск,0.0
центробежный,0.0
насос,0.0
мера,0.0
противодействие,0.0
кобулжон,0
муминович,0
андижанский,0.0
институт,0.0
андижан,0.0
бобур,0.0
бахтияр,0
уголь,0.0
докторант,0.0
гулбахор,0.0
мамасалиевич,0
ассистент,0.0
явление,0.0
рассматриваться,0.0
физический,0.0
последствие,0.0
включая,0.0
жуковский,0.0
предотвращение,0.0
негативный,0.0
особый,0.0
внимание,0.0
уделить,0.0
использование,0.0
воздушный,0.0
байпасный,0
закрываться,0.0
клапан,0.0
давление,0.0
защита,0.0
трубопроводный,0
байпас,0
амортизатор,0
резкий,0.0
жидкость,0.0
насосный,0.0
гидротехнический,0
сооружение,0.0
предмет,0.0
многочисленный,0.0
фактор,0.0
сжимаемость,0
вода,0.0
упереть,0
гость,0
труба,0.0
безопасность,0.0
мероприятие,0.0
модельный,0.0
установка,0.0
экспериментальный,0.0
мощность,0.0
квт,0.0
напор,0.0
расход,0.0
диаметр,0.0
вязкость,0.0
па,0.0
переходный,0.0
закрытие,0.0
открытие,0.0
неожиданный,0.0
инерционный,0
упругость,0.0
даваться,0.0
распространение,0.0
волна,0.0
высота,0.0
вследствие,0.0
ускорение,0.0
падение,0.0
схематический,0
изображение,0.0
демонстрировать,0.0
воздействие,0.0
применяться,0.0
гидропневматический,0
использоваться,0.0
поглощение,0.0
сглаживание,0.0
сжатый,0.0
воздух,0.0
помогать,0.0
плавный,0.0
вместо,0.0
установленный,0.0
устанавливаться,0.0
ответвление,0.0
байпасна,0
защищать,0.0
смягчать,0.0
перенаправление,0
перегрузка,0.0
альтернативный,0.0
маршрут,0.0
уменьшать,0.0
включение,0.0
выключение,0.0
балансировка,0
обеспечивать,0.0
бесперебойный,0.0
реализоваться,0.0
перенаправлять,0
регулировать,0.0
открываться,0.0
превышение,0.0
снижать,0.0
колебание,0.0
гидроаккумулятор,0
ударный,0.0
создавать,0.0
помощь,0.0
эйлер,0
окружный,0.0
вход,0.0
выход,0.0
колесо,0.0
тангенциальный,0.0
абсолютный,0.0
бернулли,0
конец,0.0
столб,0.0
потеря,0.0
коммуникация,0.0
связать,0.0
стенка,0.0
локальный,0.0
сопротивление,0.0
поворот,0.0
арматура,0
сужение,0.0
дарси-вейсбах,0
опасный,0.0
способный,0.0
серьёзный,0.0
повреждение,0.0
настоящий,0.0
физико,0.0
природа,0.0
расчётный,0.0
выделить,0.0
обосновать,0.0
оптимизация,0.0
показать,0.0
уменьшить,0.0
амплитуда,0.0
практический,0.0
ценность,0.0
направить,0.0
надёжность,0.0
долговечность,0.0
станция,0.0
перспектива,0.0
планироваться,0.0
цифровой,0.0
интеллектуальный,0.0
управление,0.0
дальнейший,0.0
гусев,0.0
кавитация,0.0
иванов,0.0
спб,0.0
политехник,0.0
патрашева,0
новосибирск,0.0
нгт,0
соколов,0.0
петров,0.0
гидродинамика,0
энергоатомиздат,0.0
ткань,0.0
базальтовый,0
стекловолокно,0
использовать,0.0
рукавный,0
фильтр,0.0
исомидин,0
азизжон,0
саломидинович,0
доцент,0.0
ферганский,0.0
фергана,0.0
муллажонов,0.0
мафтун,0
маликжон,0
кизя,0.0
исследовать,0.0
стеклянный,0.0
фильтровать,0.0
цементный,0.0
пыль,0.0
данные,0.0
оптимальный,0.0
фильтрация,0.0
эксперимент,0.0
варьироваться,0.0
газ,0.0
шаг,0.0
размер,0.0
частица,0.0
распределяться,0.0
мкм,0.0
пылевоздушный,0
смесь,0.0
температура,0.0
ф,0.0
рт,0.0
алимов,0.0
саидов,0.0
имитационный,0
поверхностный,0.0
почва,0.0
феруз,0.0
абдукадирович,0
проф,0.0
мухайёхон,0
тулкинович,0
операция,0.0
связанный,0.0
рыхление,0
оценка,0.0
почвообрабатывающий,0
агрегат,0.0
энергоёмкость,0
распределение,0.0
напряжение,0.0
деформация,0.0
сила,0.0
орган,0.0
комбинированный,0.0
проанализировать,0.0
прочностный,0.0
характеристика,0.0
аспект,0.0
сопро,0.0
тивление,0
составить,0.0
пакет,0.0
программа,0.0
деформировать,0.0
критический,0.0
зона,0.0
позволить,0.0
износостойкость,0
дискретный,0.0
элемент,0.0
обоснование,0.0
машинно-тракторный,0
точный,0.0
внешний,0.0
среда,0.0
усовершенствование,0.0
тракторный,0
совместный,0.0
работать,0.0
друг,0.0
учитывать,0.0
эксплуатационный,0.0
технико-эксплуатационный,0
агротехнический,0
энергетический,0.0
зрение,0.0
физика,0.0
орудие,0.0
сложный,0.0
структурно-механический,0
адекватный,0.0
представление,0.0
доказать,0.0
правильный,0.0
воспроизведение,0.0
долж,0
разрешение,0.0
перемещение,0.0
под,0.0
временной,0.0
земледельческий,0.0
рассм,0.0
атриваться,0
разновидность,0.0
двугранный,0
трехгранный,0
клин,0.0
физико-механический,0.0
тяговый,0
механический,0.0
погодный,0.0
севооборот,0
культура,0.0
внесение,0.0
удобрение,0.0
браться,0.0
почвенный,0.0
программный,0.0
комплекс,0.0
разрушение,0.0
строение,0.0
переменность,0
масса,0.0
составление,0.0
действовать,0.0
напряжённо-деформированный,0
отметить,0.0
кулон-мор,0
носка,0.0
лемех,0
плуг,0
нож,0.0
сошниковый,0
диск,0.0
борона,0
оделирование,0
культиватор,0
математич,0
ескай,0.0
жидкий,0.0
равномерность,0
раствор,0.0
ширина,0.0
захват,0.0
грунт,0.0
истинный,0.0
сухой,0.0
влажность,0.0
пористость,0.0
удельный,0.0
вес,0.0
прочность,0.0
сжатие,0.0
сдвиговый,0.0
угол,0.0
внутренний,0.0
сцепление,0.0
модуль,0.0
пластичность,0.0
усадка,0.0
мелкозернистый,0.0
сельскохозяйственный,0.0
угодье,0
представляться,0.0
глина,0
песок,0.0
супесь,0
суглинок,0
радиальный,0.0
сельский,0.0
хозяйство,0.0
рыхлитель,0
др,0.0
усилие,0.0
выполнять,0.0
мора,0
кулон,0
пластический,0.0
рушающийся,0
сдвиг,0.0
касательный,0.0
предельный,0.0
учитываться,0.0
резание,0
атака,0.0
нормальный,0.0
контакт,0.0
твёрдость,0.0
существовать,0.0
ряд,0.0
почвоведение,0
агрофизика,0
объёмный,0.0
твёрдый,0.0
вещество,0.0
смотреть,0.0
проктор,0
критерий,0.0
моор-кулон,0
произойти,0.0
устойчивость,0.0
содержание,0.0
предпосевной,0
опт,0.0
итог,0.0
устойчивый,0.0
рекомендовать,0.0
техника,0.0
рассчитываться,0.0
исходить,0.0
горячкин,0.0
основываться,0.0
баланс,0.0
поправка,0.0
корпус,0.0
глубина,0.0
полосный,0
дисковый,0.0
стрельчатый,0
секция,0.0
оснастить,0.0
обоснованный,0.0
грядиль,0
установить,0.0
центральный,0.0
след,0.0
разрезать,0.0
перерезать,0
пожнивный,0
остаток,0.0
обрабатывать,0.0
полоса,0.0
разбивать,0
ком,0
отрезать,0
получение,0.0
ровный,0.0
борозда,0.0
чистый,0.0
дно,0.0
универсальный,0.0
лапа,0.0
рыхлить,0
перемешивать,0.0
выравнивать,0.0
определённый,0.0
частность,0.0
соответствовать,0.0
климатический,0.0
мпа,0.0
слой,0.0
поле,0.0
уборка,0.0
надземный,0.0
зерновые,0.0
остаться,0.0
стернь,0
уклон,0
гребнистость,0
воспользоваться,0.0
конечный,0.0
разбиваться,0
тяга,0.0
трактор,0
единый,0.0
пятка,0.0
симметричный,0.0
больший,0.0
проникновение,0.0
наблюдаться,0.0
крыло,0.0
середина,0.0
уровень,0.0
уменьшаться,0.0
зависеть,0.0
место,0.0
расположение,0.0
снимок,0.0
увеличиваться,0.0
задний,0.0
наблюдение,0.0
свидетельствовать,0.0
подвергаться,0.0
вызвать,0.0
фрагмент,0.0
передний,0.0
указывать,0.0
концентрация,0.0
передача,0.0
передаваться,0.0
квази,0.0
оригинальный,0.0
универсально-стрельчатый,0
эксплуатация,0.0
способствовать,0.0
энергозатраты,0.0
надёжный,0.0
инструмент,0.0
адаптировать,0.0
свечник,0
модернизация,0.0
автореферат,0.0
октор,0
челябинск,0.0
платонов,0.0
чудновский,0
агроклиматический,0
агротехник,0
гидрометиздат,0
мударис,0
дис,0.0
докт,0.0
рахимов,0.0
кан,0.0
амин,0.0
полосовой,0
внутрипочвенный,0
специальность,0.0
механизация,0.0
уфа,0.0
богданов,0.0
глинистый,0
грунтоведение,0
примкулов,0
фа,0.0
алланазар,0
хуррам,0
декабрь,0.0
серия,0.0
конференция,0.0
окружающий,0.0
издательство,0.0
ихсан,0
юрченко,0.0
ремонт,0.0
ротор,0.0
проходческий,0
самат,0
маратович,0.0
магистрант,0.0
карагандинский,0.0
имя,0.0
абылкас,0
сагинговый,0
казахстан,0.0
караганда,0.0
василий,0.0
викторович,0.0
доктор,0.0
износ,0.0
режущий,0.0
ротационно-ударный,0
специальный,0.0
промывочный,0
резец,0.0
энергия,0.0
порода,0.0
рекомендация,0.0
ротационный,0.0
механизировать,0.0
играть,0.0
роль,0.0
строительство,0.0
глубокий,0.0
ствол,0.0
назначение,0.0
вентиляционный,0.0
транспортный,0.0
водоотливный,0
благодаря,0.0
автоматизация,0.0
мощный,0.0
приводной,0
проходка,0
повышать,0.0
увеличивать,0.0
одновременный,0.0
выполнение,0.0
осевой,0.0
крутить,0.0
частый,0.0
ремонтный,0.0
интенсивный,0.0
контактировать,0.0
горный,0.0
вибрация,0.0
изготавливаться,0.0
высокопрочный,0
легировать,0
стать,0.0
длительный,0.0
бурение,0
происходить,0.0
нагрев,0.0
подход,0.0
предполаг,0
демонтаж,0.0
последующий,0.0
реализовать,0.0
непосредственна,0
простой,0.0
стойкость,0.0
приблизить,0.0
ротационноударный,0
лечь,0.0
межремонтный,0
период,0.0
месторождение,0.0
метр,0.0
крепь,0
любой,0.0
стандартный,0.0
соответствие,0.0
проектный,0.0
требование,0.0
выбрать,0.0
выдача,0.0
пневматический,0.0
шламовый,0
спуск,0.0
отбить,0
нижний,0.0
горизонт,0.0
пилотный,0.0
скважина,0
фреза,0.0
скальный,0.0
добыча,0.0
природный,0.0
разный,0.0
подъёмный,0
руда,0.0
буровой,0
восставать,0.0
выработка,0.0
высокопроизводительный,0
частотно-регулировать,0
электропривод,0
крепкий,0.0
момент,0.0
головка,0.0
туннельно-проходческий,0
хрупкий,0
экскавационный,0
колебаться,0.0
проявлять,0.0
хаотичность,0
макроскопический,0.0
заключаться,0.0
комбинация,0.0
статический,0.0
трёхмерный,0.0
сопрячь,0.0
анализироваться,0.0
симуляция,0.0
обнаружить,0.0
среднестатистический,0.0
пропорциональный,0.0
одноосный,0
степенной,0
рассчитать,0.0
геометрический,0.0
роторный,0.0
сталь,0.0
термический,0.0
поведение,0.0
боков,0.0
боковой,0.0
температурный,0.0
охлаждение,0.0
прогнозирование,0.0
контактный,0.0
инструментальный,0.0
алитический,0
подтвердить,0.0
адаптивный,0.0
численна,0
гост,0.0
углеродистый,0
марка,0.0
виам,0
разделение,0.0
газохимический,0
муминовый,0.0
рахимжон,0
рустамович,0.0
информационно-коммуникационный,0.0
инженерно-технологический,0.0
газовый,0.0
уделяться,0.0
сепаратор,0
датчик,0.0
энергопотребление,0
срок,0.0
служба,0.0
промышленный,0.0
переработка,0.0
транспортировка,0.0
сепарация,0
ультразвук,0.0
энергоэффективность,0
туробова,0
боймурод,0
хужакуловый,0
геолого-минералогический,0
потенциал,0.0
вольфрамовый,0
ингичка,0
шахриддин,0.0
насриддинович,0
навоийский,0
горно-технологический,0
навои,0
наджмиддин,0
абдугадирович,0
геология,0
дело,0.0
каршинский,0
инженерно-экономический,0
карши,0
амиржон,0
муродович,0.0
геологический,0
минералогический,0
нурабадский,0
район,0.0
самаркандский,0.0
юго-восточный,0.0
зирабулакский,0
хребет,0.0
многолетний,0.0
метаморфизм,0
скарновое,0
рудный,0
разнообразие,0.0
минеральный,0.0
ассоциация,0.0
местоположение,0.0
магматический,0
интрузив,0
стратегический,0.0
осветить,0.0
исторический,0.0
изыскание,0.0
запас,0.0
полезный,0.0
ископаемое,0
послужить,0.0
углублённый,0.0
скарн,0
минералогия,0
гора,0.0
зирабулак,0
предословие,0
перспективный,0.0
регион,0.0
открытый,0.0
пройти,0.0
этап,0.0
геолого,0
разведочный,0
медь,0.0
золото,0.0
тектонический,0.0
структура,0.0
делать,0.0
уникальный,0.0
обследование,0.0
важность,0.0
контактово-метаморфический,0
выявление,0.0
редкоземельный,0
привлекать,0.0
геолог,0
инвестор,0.0
обогатительный,0
фабрика,0.0
подробный,0.0
риск,0.0
относиться,0.0
рельеф,0.0
местность,0.0
холмистый,0
близкий,0.0
железнодорожный,0.0
каттакурган,0
км,0.0
ингичкинский,0
горно-обогатительный,0
комбинат,0.0
шоссейный,0
дорога,0.0
история,0.0
разведка,0
енгалычев,0
беспалов,0.0
поисково-разведочный,0
денисов,0.0
ушаков,0.0
пузиковы,0
законсервировать,0
кондиция,0
необходимость,0.0
пересчёт,0.0
возобновиться,0
лян,0
талал,0
мелешкина,0
перевод,0.0
категория,0.0
дегтярёв,0.0
восточный,0.0
шадрина,0
начаться,0.0
геолого-съёмочный,0
смирнов,0.0
барковский,0
корсаков,0.0
прогнозный,0
скоробогатов,0.0
минералого-петрографический,0
з,0.0
королева,0.0
лиценмайер,0
кучукова,0
перцевый,0
геолого-структурный,0
региональный,0.0
позиция,0.0
сочленение,0.0
продольный,0.0
межблоковый,0
шов,0.0
разделять,0.0
фемический,0
сиалический,0
блок,0.0
меридиональный,0
глубинный,0.0
разлом,0
фундамент,0.0
корневой,0.0
геолого-геофизический,0
магмовыводить,0
канал,0.0
предел,0.0
испытывать,0.0
флексурный,0
изгиб,0.0
фиксироваться,0.0
пояс,0.0
лейкогранитовый,0
оформить,0.0
горст,0
ограниченный,0.0
полигональный,0.0
крупный,0.0
смещение,0.0
горизонтальный,0.0
юго-восток,0.0
юго-запад,0
джинский,0
алтыаульский,0
север,0.0
шаувазский,0
сброс,0.0
запад,0.0
каттасайский,0
сбросо,0
западный,0.0
подвергнуться,0.0
эрозия,0.0
целое,0.0
альпийский,0
активизация,0.0
формировать,0.0
кольцевой,0.0
повторяться,0.0
песчаник,0
доломит,0
известняк,0
линза,0.0
кремень,0
вулканит,0
туфогенный,0
карбонатный,0
отложение,0.0
терригенный,0
лавобрекчия,0
риолит,0
дайка,0
лампрофир,0
гранита-адамеллит,0
шток,0.0
тело,0.0
раннескладчатый,0
надвиг,0
позднескладчатый,0
взбросо-сдвиг,0
сининтрузивный,0
взброс,0
граница,0.0
каратюбе-зирабулакский,0
гранит,0
лейкократовый,0
пластообразный,0
залежь,0.0
биотитов,0
гранитовый,0
карбонатно-терригенный,0
биотитовыя,0
догранитоидный,0
малхит,0
керсантит,0
спессартит,0
пьязынский,0
свита,0
мраморизовать,0
дробление,0.0
кварцевый,0
жила,0
минералообразование,0
скарново-рудный,0
приурочить,0
гранитоид,0
мрамор,0
проекция,0.0
отражать,0.0
контактовый,0
охватывать,0.0
диапазон,0.0
выделяться,0.0
фация,0.0
пироксен,0
амфибол,0
мусковит-роговиковый,0
залегать,0.0
аляскитовый,0
превышать,0.0
вольфрам,0
морфология,0.0
литологический,0
крутой,0.0
северный,0.0
падать,0.0
южный,0.0
лакколитовый,0
массив,0.0
внутри,0.0
кровля,0
пологий,0
характеризоваться,0.0
вал,0.0
рудораспределять,0
прогиб,0
покровный,0.0
антиклинальный,0
осложнить,0.0
махмудтауский,0
нарушить,0.0
блоковый,0
северо-восточный,0.0
сбросо-сдвиг,0
шеелитоносный,0
приоткрываться,0
гидротермальный,0
вмещать,0
песчани,0
ками,0
алевролит,0
делиться,0.0
пачка,0.0
известняково-доломитовый,0
аналогичный,0.0
